openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore,longAccount,longShortRatio,shortAccount,symbol,timestamp
2021-08-02 08:00:00,39846.78,40450,38658,39147.48,451872.128,1627948799999,17868768676.1434,4318497,222510.659,8801433868.58386,0,0.5533,1.2386,0.4467,BTCUSDT,2021-08-02 08:00:00
2021-08-03 08:00:00,39147.47,39774.93,37600,38203.26,517219.517,1628035199999,19870811472.4281,4801837,254829.126,9792216851.03109,0,0.5909,1.4444,0.4091,BTCUSDT,2021-08-03 08:00:00
2021-08-04 08:00:00,38201.33,39975.32,37500,39731.31,479560.473,1628121599999,18566815767.5079,4413240,240426.769,9310224823.65381,0,0.6322,1.7189,0.3678,BTCUSDT,2021-08-04 08:00:00
2021-08-05 08:00:00,39731.31,41350,37291,40882.4,746249.712,1628207999999,29293280083.5088,6512116,371863.38,14601667628.0409,0,0.5857,1.4137,0.4143,BTCUSDT,2021-08-05 08:00:00
2021-08-06 08:00:00,40882.39,43400,39849.82,42825.43,653451.154,1628294399999,27084444322.3651,6108565,331004.461,13721544659.9301,0,0.5301,1.1281,0.4699,BTCUSDT,2021-08-06 08:00:00
2021-08-07 08:00:00,42825.43,44753.01,42395.2,44601.11,583750.891,1628380799999,25434912724.4923,5973520,295584.445,12883268256.6636,0,0.5025,1.0101,0.4975,BTCUSDT,2021-08-07 08:00:00
2021-08-08 08:00:00,44601.11,45350,43265,43787.71,553684.698,1628467199999,24546996022.1598,5639557,276106.656,12243631779.9059,0,0.498,0.992,0.502,BTCUSDT,2021-08-08 08:00:00
2021-08-09 08:00:00,43787.71,46483,42785,46259.7,626220.503,1628553599999,28215980001.728,6262199,316796.461,14276727540.0451,0,0.5132,1.0542,0.4868,BTCUSDT,2021-08-09 08:00:00
2021-08-10 08:00:00,46259.7,46800,44670.05,45589.99,460478.861,1628639999999,20993395642.6577,4679043,226898.781,10347321972.8208,0,0.4738,0.9004,0.5262,BTCUSDT,2021-08-10 08:00:00
2021-08-11 08:00:00,45589.99,46754.27,45354,45522.12,390660.571,1628726399999,18016171890.3703,3948283,194652.975,8978680567.4774,0,0.5619,1.2826,0.4381,BTCUSDT,2021-08-11 08:00:00
2021-08-12 08:00:00,45522.13,46226.67,43800,44385.09,468276.056,1628812799999,21002449071.3634,4731727,230524.439,10342004426.9742,0,0.534,1.1459,0.466,BTCUSDT,2021-08-12 08:00:00
2021-08-13 08:00:00,44385.09,47980.69,44208.88,47792.52,438025.46,1628899199999,20268188738.8273,4397367,224999.55,10413063530.0663,0,0.5814,1.3889,0.4186,BTCUSDT,2021-08-13 08:00:00
2021-08-14 08:00:00,47792.52,48300,46000,47083.74,374368.796,1628985599999,17592436753.3755,3874327,184208.521,8659821371.3951,0,0.5113,1.0462,0.4887,BTCUSDT,2021-08-14 08:00:00
2021-08-15 08:00:00,47083.75,47388.75,45480,47006.02,370950.807,1629071999999,17184325858.981,3856811,182320.165,8446265394.7841,0,0.6047,1.5297,0.3953,BTCUSDT,2021-08-15 08:00:00
2021-08-16 08:00:00,47006.02,48074.23,45682.03,45926.23,412537.605,1629158399999,19341043030.7606,4045954,201112.169,9431523717.39454,0,0.6013,1.5082,0.3987,BTCUSDT,2021-08-16 08:00:00
2021-08-17 08:00:00,45926.23,47194,44412.01,44704.84,474316.4,1629244799999,21777823959.042,4617189,230091.679,10569169050.4301,0,0.6455,1.8209,0.3545,BTCUSDT,2021-08-17 08:00:00
2021-08-18 08:00:00,44704.85,46050,44227.32,44714.09,395836.158,1629331199999,17865646754.6838,4068589,198145.782,8945317255.97245,0,0.6565,1.9112,0.3435,BTCUSDT,2021-08-18 08:00:00
2021-08-19 08:00:00,44714.09,47100,43938.38,46772,439402.162,1629417599999,19883402232.5533,4289786,221338.968,10021661857.696,0,0.6241,1.6603,0.3759,BTCUSDT,2021-08-19 08:00:00
2021-08-20 08:00:00,46772.00,49500.00,46650.00,49332.74,401499.081,1629503999999,19242378733.46022,3984145,205499.228,9850869343.91272,0,0.5573,1.2589,0.4427,BTCUSDT,2021-08-20 08:00:00
2021-08-21 08:00:00,49332.99,49833.00,48250.00,48848.29,347594.451,1629590399999,17049427213.44250,3387346,173433.357,8507712124.16355,0,0.5155,1.064,0.4845,BTCUSDT,2021-08-21 08:00:00
2021-08-22 08:00:00,48846.11,49556.20,48075.81,49273.28,294672.223,1629676799999,14395479952.62928,2925925,146268.093,7147255100.99184,0,0.532,1.1368,0.468,BTCUSDT,2021-08-22 08:00:00
2021-08-23 08:00:00,49273.28,50600.0,49075.01,49523.91,355733.496,1629763199999,17745733776.00453,3345792,175956.297,8778713187.66257,0,0.5366,1.158,0.4634,BTCUSDT,2021-08-23 08:00:00
2021-08-24 08:00:00,49523.23,49888.88,47600.0,47719.36,398682.002,1629849599999,19450210328.35084,3585585,193775.029,9455239479.13845,0,0.5741,1.348,0.4259,BTCUSDT,2021-08-24 08:00:00
2021-08-25 08:00:00,47719.37,48636.74,47700.0,47925.01,107225.63,1629935999999,5164169762.92265,988044,52484.042,2528269403.93038,0,0.6322,1.7189,0.3678,BTCUSDT,2021-08-25 08:00:00
2021-08-26 08:00:00,48992.65,49380.0,48753.0,48760.01,30168.482,1630022399999,1480268386.85696,257233,14264.57,700083755.239,0,0.5953,1.471,0.4047,BTCUSDT,2021-08-26 08:00:00
2021-08-27 08:00:00,46854.22,47688.88,46359.97,47145.56,115811.143,1630108799999,5450484703.42625,962274,57872.003,2724221880.11201,0,0.6489,1.8482,0.3511,BTCUSDT,2021-08-27 08:00:00
2021-08-28 08:00:00,49082.13,49333.0,48395.65,48931.99,222793.024,1630195199999,10891802522.97636,2305599,109948.674,5376041357.07675,0,0.561,1.2779,0.439,BTCUSDT,2021-08-28 08:00:00
2021-08-29 08:00:00,48931.99,49769.2,47741.31,48795.41,315105.499,1630281599999,15338512478.0667,2921430,155344.998,7564561738.66223,0,0.5832,1.3992,0.4168,BTCUSDT,2021-08-29 08:00:00
2021-08-30 08:00:00,48795.42,48916.25,47764.0,47990.41,82852.292,1630367999999,3998424573.18897,723436,39904.803,1925836638.89877,0,0.5677,1.3132,0.4323,BTCUSDT,2021-08-30 08:00:00
2021-08-31 08:00:00,47024.69,47343.48,46731.03,47159.09,70657.228,1630454399999,3322164761.81193,639056,35865.488,1686639261.97242,0,0.654,1.8902,0.346,BTCUSDT,2021-08-31 08:00:00
2021-09-01 08:00:00,47150.32,47392.56,46550.99,47107.45,67636.519,1630540799999,3173403867.78303,604593,33254.421,1560517169.66004,0,0.6498,1.8555,0.3502,BTCUSDT,2021-09-01 08:00:00
2021-09-02 08:00:00,48842.93,49945.0,48631.2,49719.66,100681.931,1630627199999,4978998353.02496,927752,50943.622,2519455975.37877,0,0.6024,1.5151,0.3976,BTCUSDT,2021-09-02 08:00:00
2021-09-03 08:00:00,49299.14,49430.0,48333.0,49007.56,59471.295,1630713599999,2902664747.68242,537133,27635.408,1348667608.72187,0,0.5898,1.4378,0.4102,BTCUSDT,2021-09-03 08:00:00
2021-09-04 08:00:00,50027.09,50582.08,49360.0,49940.74,274956.842,1630799999999,13759937547.8914,2715890,136190.266,6816489865.12176,0,0.592,1.451,0.408,BTCUSDT,2021-09-04 08:00:00
2021-09-05 08:00:00,49942.2,51950.0,49462.59,51799.57,288984.124,1630886399999,14588935796.41607,2959186,148048.724,7476811101.85916,0,0.6172,1.6123,0.3828,BTCUSDT,2021-09-05 08:00:00
2021-09-06 08:00:00,51799.56,51961.46,51450.0,51692.56,44584.239,1630972799999,2306360468.92152,484384,21647.639,1119984430.48248,0,0.5076,1.0309,0.4924,BTCUSDT,2021-09-06 08:00:00
2021-09-07 08:00:00,52683.98,52950.0,52388.0,52684.1,59407.795,1631059199999,3127079233.3607,624400,29720.262,1564706709.16006,0,0.5437,1.1915,0.4563,BTCUSDT,2021-09-07 08:00:00
2021-09-08 08:00:00,46864.38,47347.0,46236.72,46382.29,48929.644,1631145599999,2293232622.9146,506443,23683.68,1110168004.18932,0,0.6724,2.0525,0.3276,BTCUSDT,2021-09-08 08:00:00
2021-09-09 08:00:00,46060.02,46386.25,45500.0,46100.93,54650.081,1631231999999,2514423739.08634,547038,26176.615,1204776565.52652,0,0.6304,1.7056,0.3696,BTCUSDT,2021-09-09 08:00:00
2021-09-10 08:00:00,46413.88,47037.5,44120.0,44860.83,343533.069,1631318399999,15708080883.28685,3380700,167338.043,7655525177.57464,0,0.6302,1.7042,0.3698,BTCUSDT,2021-09-10 08:00:00
2021-09-11 08:00:00,44860.83,45530.0,44737.4,45311.26,51562.041,1631404799999,2331446401.51308,562760,25966.462,1174022745.58084,0,0.6721,2.0497,0.3279,BTCUSDT,2021-09-11 08:00:00
2021-09-12 08:00:00,45194.19,46512.2,44746.51,46046.73,223534.63,1631491199999,10201271595.70855,2321178,113248.808,5169330709.00293,0,0.6275,1.6846,0.3725,BTCUSDT,2021-09-12 08:00:00
2021-09-13 08:00:00,46048.02,46319.82,44502.69,44680.0,67503.088,1631577599999,3051510562.24166,608568,31410.001,1420616735.23279,0,0.6192,1.6261,0.3808,BTCUSDT,2021-09-13 08:00:00
2021-09-14 08:00:00,44975.96,45382.16,44692.9,45177.19,39540.151,1631663999999,1784071771.08796,444235,19375.291,874296020.2618,0,0.6636,1.9727,0.3364,BTCUSDT,2021-09-14 08:00:00
2021-09-15 08:00:00,47087.18,47478.76,46924.1,47069.71,38734.38,1631750399999,1825890997.60967,404227,19653.108,926671371.1693,0,0.5348,1.1496,0.4652,BTCUSDT,2021-09-15 08:00:00
2021-09-16 08:00:00,48106.13,48488.0,47038.21,47745.55,260044.727,1631836799999,12433719043.28008,2620820,129615.057,6198461875.58339,0,0.5226,1.0947,0.4774,BTCUSDT,2021-09-16 08:00:00
2021-09-17 08:00:00,47745.55,48100.0,47455.59,47780.01,31275.544,1631923199999,1496242208.21154,334158,15597.841,746320096.15521,0,0.5733,1.3436,0.4267,BTCUSDT,2021-09-17 08:00:00
2021-09-18 08:00:00,47303.11,48850.0,47044.32,48285.15,207900.413,1632009599999,10031215317.91942,2155659,104344.769,5035054849.54531,0,0.6133,1.586,0.3867,BTCUSDT,2021-09-18 08:00:00
2021-09-19 08:00:00,48284.61,48364.64,46840.0,47256.91,212631.933,1632095999999,10122579342.97277,2174041,103064.05,4907156041.61025,0,0.5751,1.3535,0.4249,BTCUSDT,2021-09-19 08:00:00
2021-09-20 08:00:00,47256.92,47345.0,42467.86,43026.6,600764.629,1632182399999,26601166549.81395,5157870,290520.904,12860508090.0522,0,0.6333,1.727,0.3667,BTCUSDT,2021-09-20 08:00:00
2021-09-21 08:00:00,43026.61,43629.6,39503.58,40726.1,683242.002,1632268799999,28674205460.24377,5802228,336573.263,14133698112.39341,0,0.6708,2.0377,0.3292,BTCUSDT,2021-09-21 08:00:00
2021-09-22 08:00:00,40727.83,43989.98,40551.49,43520.0,400849.752,1632355199999,17055828172.61599,3884352,205402.776,8740895418.59424,0,0.6438,1.8074,0.3562,BTCUSDT,2021-09-22 08:00:00
2021-09-23 08:00:00,43520.0,44976.48,43056.0,44828.29,330253.525,1632441599999,14552188970.80982,3230032,166949.881,7357628110.33826,0,0.5743,1.3491,0.4257,BTCUSDT,2021-09-23 08:00:00
2021-09-24 08:00:00,44828.29,44959.61,43873.11,44683.66,84762.398,1632527999999,3764244777.99536,860767,42466.086,1886292652.8757,0,0.5329,1.1409,0.4671,BTCUSDT,2021-09-24 08:00:00
