openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore
2021-09-26 22:00:00,43196.37,43382.70,43077.00,43280.00,4991.034,1632666599999,215728244.40505,44654,2627.939,113614607.52147,0
2021-09-26 22:30:00,43280.00,43355.00,43113.61,43293.43,6216.582,1632668399999,268750376.90569,50297,3600.086,155654546.95245,0
2021-09-26 23:00:00,43293.44,43342.88,43175.00,43291.35,3933.508,1632670199999,170172971.53798,37747,2027.117,87711374.84028,0
2021-09-26 23:30:00,43291.35,43390.00,43240.70,43314.19,3194.612,1632671999999,138384604.33560,38533,1665.365,72144801.10488,0
2021-09-27 00:00:00,43314.19,43529.00,43210.01,43300.00,6483.163,1632673799999,281038902.81585,65543,3148.958,136541232.36071,0
2021-09-27 00:30:00,43299.99,43334.84,43112.00,43199.51,3761.028,1632675599999,162469675.96276,41692,1844.006,79670465.78358,0
2021-09-27 01:00:00,43199.50,43280.00,43150.00,43179.01,1848.968,1632677399999,79919676.28683,23715,846.623,36595893.67993,0
2021-09-27 01:30:00,43179.00,43230.52,43059.00,43130.78,2921.739,1632679199999,126035341.53243,33991,1408.387,60761701.91460,0
2021-09-27 02:00:00,43130.04,43269.66,43126.00,43214.95,2226.970,1632680999999,96216084.13404,26720,1217.809,52619819.56344,0
2021-09-27 02:30:00,43214.95,43239.05,43170.00,43179.98,1027.149,1632682799999,44380557.19826,18202,550.541,23787578.54113,0
2021-09-27 03:00:00,43179.97,43248.00,43106.89,43230.84,1763.922,1632684599999,76172169.49610,23517,947.711,40931425.54534,0
2021-09-27 03:30:00,43230.83,43420.81,43200.24,43244.59,3150.263,1632686399999,136396999.32433,36354,1577.783,68316913.39757,0
2021-09-27 04:00:00,43245.25,43690.00,43245.25,43612.12,4644.802,1632688199999,201807450.06750,48489,2792.078,121350871.23379,0
2021-09-27 04:30:00,43612.12,43700.00,43457.10,43625.00,4132.863,1632689999999,180114388.69625,45585,1975.929,86138339.78764,0
2021-09-27 05:00:00,43625.01,43690.00,43400.00,43420.00,2569.181,1632691799999,111762637.07363,33989,1164.145,50651146.09450,0
2021-09-27 05:30:00,43420.01,43550.56,43325.62,43548.02,2142.567,1632693599999,93090938.77159,27460,1025.212,44546722.47665,0
2021-09-27 06:00:00,43548.02,43940.00,43463.83,43596.26,7508.012,1632695399999,328429549.10985,71738,4168.934,182391116.79485,0
2021-09-27 06:30:00,43596.27,43598.08,42770.01,42887.51,10155.084,1632697199999,438572092.72364,87311,4278.292,184908932.65916,0
2021-09-27 07:00:00,42887.52,43200.00,42650.00,42972.41,12620.526,1632698999999,541830396.47708,115181,6586.569,282876942.41577,0
2021-09-27 07:30:00,42972.41,43249.80,42886.05,43150.00,4611.967,1632700799999,198827634.84067,48122,2374.086,102365976.99515,0
2021-09-27 08:00:00,43150.01,43207.93,42914.04,43048.11,4719.060,1632702599999,203119537.36757,50125,2282.946,98269832.33060,0
2021-09-27 08:30:00,43048.10,43958.58,43046.83,43851.20,11546.336,1632704399999,502692199.88640,102944,6249.362,272022736.91042,0
2021-09-27 09:00:00,43851.20,43971.80,43693.40,43919.43,6979.389,1632706199999,306092306.89787,67226,3430.071,150445192.08467,0
2021-09-27 09:30:00,43919.43,44300.00,43855.54,44259.86,10087.856,1632707999999,445371086.09477,91282,6061.420,267629230.25023,0
2021-09-27 10:00:00,44259.86,44350.00,43959.40,43984.73,6156.178,1632709799999,271593887.91436,60536,2754.768,121549732.94075,0
2021-09-27 10:30:00,43985.51,44173.11,43982.86,44157.84,3622.755,1632711599999,159775223.21721,39237,1802.121,79485909.42717,0
2021-09-27 11:00:00,44157.83,44220.00,44019.03,44040.00,3345.169,1632713399999,147568516.04416,32290,1387.517,61226217.32629,0
2021-09-27 11:30:00,44040.00,44076.46,43824.76,44028.89,4115.663,1632715199999,180901559.81269,42048,2060.013,90553061.94420,0
2021-09-27 12:00:00,44028.89,44066.54,43924.01,44017.10,3075.187,1632716999999,135298355.88975,32918,1505.993,66260715.43943,0
2021-09-27 12:30:00,44017.09,44040.74,43892.00,44003.94,2941.548,1632718799999,129272482.85526,31285,1594.211,70070394.67066,0
2021-09-27 13:00:00,44003.94,44230.97,43984.28,44033.34,3781.700,1632720599999,166777471.36756,39581,1940.012,85567178.86629,0
2021-09-27 13:30:00,44034.92,44111.00,43961.92,44063.74,2164.548,1632722399999,95290649.90423,26385,1117.238,49187057.66288,0
2021-09-27 14:00:00,44063.74,44194.00,43968.57,44010.96,4008.422,1632724199999,176741444.32040,37606,1784.298,78693077.16133,0
2021-09-27 14:30:00,44010.96,44099.16,43641.45,43722.06,5708.020,1632725999999,250364426.98090,56844,2466.443,108226486.41119,0
2021-09-27 15:00:00,43722.07,43918.00,43623.60,43759.99,7283.688,1632727799999,318670580.94230,65946,3558.737,155706039.49665,0
2021-09-27 15:30:00,43760.00,43822.70,43652.14,43665.96,3291.292,1632729599999,144026899.32866,34702,1825.861,79913642.99340,0
